Nama Broker,Kode Broker,Nama Emiten,Nama Perusahaan,Tanggal,Buy Value,Buy Lot,Buy Avg,Sell Value,Sell Lot,Sell Avg,Open Price,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Persentase Selisih
BNI Sekuritas,NI,PANI,Pantai Indah Kapuk Dua Tbk.,1/28/2026,,,,18B,18.767,9.59,9575.0,9575.0,9950.0,9575.0,9575.0,-1675.0,-17.49%
BRI Danareksa Sekuritas,OD,PANI,Pantai Indah Kapuk Dua Tbk.,1/28/2026,5.3B,5.561,9.596,,,,9575.0,9575.0,9950.0,9575.0,9575.0,-1675.0,-17.49%
MANDIRI SEKURITAS,CC,PANI,Pantai Indah Kapuk Dua Tbk.,1/29/2026,38.7B,45.344,8.535,35.1B,40.731,8.62,8900.0,8900.0,9500.0,8150.0,9200.0,-375.0,-4.08%
BNI Sekuritas,NI,PANI,Pantai Indah Kapuk Dua Tbk.,1/29/2026,,,,25.8B,29.735,8.69,8900.0,8900.0,9500.0,8150.0,9200.0,-375.0,-4.08%
BRI Danareksa Sekuritas,OD,PANI,Pantai Indah Kapuk Dua Tbk.,1/29/2026,5.8B,6.703,8.714,,,,8900.0,8900.0,9500.0,8150.0,9200.0,-375.0,-4.08%
MANDIRI SEKURITAS,CC,PANI,Pantai Indah Kapuk Dua Tbk.,1/30/2026,6.9B,7.572,9.13,19.1B,21.04,9.1,9200.0,9225.0,9425.0,8875.0,9300.0,100.0,1.08%
BNI Sekuritas,NI,PANI,Pantai Indah Kapuk Dua Tbk.,1/30/2026,,,,1.6B,1.694,9.189,9200.0,9225.0,9425.0,8875.0,9300.0,100.0,1.08%
BRI Danareksa Sekuritas,OD,PANI,Pantai Indah Kapuk Dua Tbk.,1/30/2026,,,,1.8B,1.953,9.251,9200.0,9225.0,9425.0,8875.0,9300.0,100.0,1.08%
MANDIRI SEKURITAS,CC,PANI,Pantai Indah Kapuk Dua Tbk.,2/2/2026,48.3B,59.115,8.169,6.9B,8.251,8.365,9300.0,9300.0,9300.0,7925.0,7925.0,-1375.0,-17.35%
BNI Sekuritas,NI,PANI,Pantai Indah Kapuk Dua Tbk.,2/2/2026,,,,74.9B,92.55,8.094,9300.0,9300.0,9300.0,7925.0,7925.0,-1375.0,-17.35%
MANDIRI SEKURITAS,CC,PBSA,Paramita Bangun Sarana Tbk.,1/28/2026,1.4B,6.79,2.024,1.1B,5.429,2.016,2010.0,2010.0,2080.0,2010.0,2010.0,-350.0,-17.41%
MANDIRI SEKURITAS,CC,PBSA,Paramita Bangun Sarana Tbk.,1/29/2026,5.5B,31.043,1.766,4B,22.357,1.809,1710.0,1710.0,1905.0,1710.0,1815.0,-195.0,-10.74%
MANDIRI SEKURITAS,CC,PBSA,Paramita Bangun Sarana Tbk.,1/30/2026,6.1B,36.886,1.647,3.1B,17.639,1.769,1815.0,1815.0,1880.0,1545.0,1560.0,-255.0,-16.35%
