Nama Broker,Kode Broker,Nama Emiten,Nama Perusahaan,Tanggal,Buy Value,Buy Lot,Buy Avg,Sell Value,Sell Lot,Sell Avg,Open Price,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Persentase Selisih
MANDIRI SEKURITAS,CC,SURI,Maja Agung Latexindo Tbk.,1/29/2026,87.4M,11.253,78,163.4M,21.88,75,82.0,82.0,86.0,73.0,82.0,-3.0,-3.66%
BNI Sekuritas,NI,SURI,Maja Agung Latexindo Tbk.,1/29/2026,48M,6.179,78,,,,82.0,82.0,86.0,73.0,82.0,-3.0,-3.66%
MANDIRI SEKURITAS,CC,SURI,Maja Agung Latexindo Tbk.,1/30/2026,22.3M,2.685,83,87.7M,10.701,82,80.0,81.0,85.0,77.0,82.0,0.0,0.00%
BNI Sekuritas,NI,SURI,Maja Agung Latexindo Tbk.,1/30/2026,34.3M,4.196,82,,,,80.0,81.0,85.0,77.0,82.0,0.0,0.00%
BRI Danareksa Sekuritas,OD,SURI,Maja Agung Latexindo Tbk.,1/30/2026,32.1M,3.905,82,14.2M,1.707,83,80.0,81.0,85.0,77.0,82.0,0.0,0.00%
MANDIRI SEKURITAS,CC,SURI,Maja Agung Latexindo Tbk.,2/2/2026,143.2M,18.165,79,17.9M,2.3,78,82.0,82.0,82.0,74.0,74.0,-8.0,-10.81%
BNI Sekuritas,NI,SURI,Maja Agung Latexindo Tbk.,2/2/2026,4.4M,586,76,3.8M,500,75,82.0,82.0,82.0,74.0,74.0,-8.0,-10.81%
BRI Danareksa Sekuritas,OD,SURI,Maja Agung Latexindo Tbk.,2/2/2026,12.1M,1.619,75,,,,82.0,82.0,82.0,74.0,74.0,-8.0,-10.81%
MANDIRI SEKURITAS,CC,TEBE,Dana Brata Luhur Tbk.,1/28/2026,6.6B,33.704,1.961,2.3B,11.787,1.985,1905.0,1905.0,2060.0,1905.0,1905.0,-335.0,-17.59%
BNI Sekuritas,NI,TEBE,Dana Brata Luhur Tbk.,1/28/2026,1.7B,8.766,1.919,2.1B,10.733,1.936,1905.0,1905.0,2060.0,1905.0,1905.0,-335.0,-17.59%
BRI Danareksa Sekuritas,OD,TEBE,Dana Brata Luhur Tbk.,1/28/2026,1.2B,6.227,1.946,,,,1905.0,1905.0,2060.0,1905.0,1905.0,-335.0,-17.59%
MANDIRI SEKURITAS,CC,TEBE,Dana Brata Luhur Tbk.,1/29/2026,4B,23.767,1.694,2.4B,14.081,1.732,1900.0,1895.0,1900.0,1620.0,1805.0,-100.0,-5.54%
BNI Sekuritas,NI,TEBE,Dana Brata Luhur Tbk.,1/29/2026,,,,677.2M,3.889,1.741,1900.0,1895.0,1900.0,1620.0,1805.0,-100.0,-5.54%
MANDIRI SEKURITAS,CC,TEBE,Dana Brata Luhur Tbk.,1/30/2026,2.2B,12.773,1.721,1.3B,7.003,1.849,1905.0,1905.0,1940.0,1655.0,1660.0,-145.0,-8.73%
BNI Sekuritas,NI,TEBE,Dana Brata Luhur Tbk.,1/30/2026,305.1M,1.739,1.755,6.7B,38.813,1.715,1905.0,1905.0,1940.0,1655.0,1660.0,-145.0,-8.73%
BRI Danareksa Sekuritas,OD,TEBE,Dana Brata Luhur Tbk.,1/30/2026,437.3M,2.402,1.821,155.7M,833,1.869,1905.0,1905.0,1940.0,1655.0,1660.0,-145.0,-8.73%
MANDIRI SEKURITAS,CC,TEBE,Dana Brata Luhur Tbk.,2/2/2026,3B,20.338,1.492,411.2M,2.685,1.532,1660.0,1660.0,1700.0,1415.0,1415.0,-245.0,-17.31%
BNI Sekuritas,NI,TEBE,Dana Brata Luhur Tbk.,2/2/2026,236.1M,1.583,1.491,,,,1660.0,1660.0,1700.0,1415.0,1415.0,-245.0,-17.31%
MANDIRI SEKURITAS,CC,TOBA,TBS Energi Utama Tbk.,1/28/2026,10.6B,141.477,751,8.4B,111.341,754,800.0,795.0,815.0,710.0,730.0,-100.0,-13.70%
BNI Sekuritas,NI,TOBA,TBS Energi Utama Tbk.,1/28/2026,1.3B,16.78,752,,,,800.0,795.0,815.0,710.0,730.0,-100.0,-13.70%
BRI Danareksa Sekuritas,OD,TOBA,TBS Energi Utama Tbk.,1/28/2026,1.6B,20.834,745,,,,800.0,795.0,815.0,710.0,730.0,-100.0,-13.70%
MANDIRI SEKURITAS,CC,TOBA,TBS Energi Utama Tbk.,1/29/2026,11.4B,175.021,650,8.2B,122.328,666,730.0,725.0,730.0,625.0,690.0,-40.0,-5.80%
BNI Sekuritas,NI,TOBA,TBS Energi Utama Tbk.,1/29/2026,,,,1.2B,18.865,651,730.0,725.0,730.0,625.0,690.0,-40.0,-5.80%
BRI Danareksa Sekuritas,OD,TOBA,TBS Energi Utama Tbk.,1/29/2026,1.6B,24.23,662,,,,730.0,725.0,730.0,625.0,690.0,-40.0,-5.80%
MANDIRI SEKURITAS,CC,TOBA,TBS Energi Utama Tbk.,1/30/2026,6.1B,85.437,719,8.6B,119.264,720,690.0,695.0,740.0,675.0,720.0,30.0,4.17%
BNI Sekuritas,NI,TOBA,TBS Energi Utama Tbk.,1/30/2026,2.4B,33.708,723,,,,690.0,695.0,740.0,675.0,720.0,30.0,4.17%
BRI Danareksa Sekuritas,OD,TOBA,TBS Energi Utama Tbk.,1/30/2026,320.9M,4.496,714,436.3M,6.055,721,690.0,695.0,740.0,675.0,720.0,30.0,4.17%
MANDIRI SEKURITAS,CC,TOBA,TBS Energi Utama Tbk.,2/2/2026,7.1B,109.424,649,2.5B,38.083,645,720.0,720.0,725.0,615.0,620.0,-100.0,-16.13%
BNI Sekuritas,NI,TOBA,TBS Energi Utama Tbk.,2/2/2026,618M,9.626,642,485.1M,7.467,650,720.0,720.0,725.0,615.0,620.0,-100.0,-16.13%
BRI Danareksa Sekuritas,OD,TOBA,TBS Energi Utama Tbk.,2/2/2026,1.9B,29.37,633,,,,720.0,720.0,725.0,615.0,620.0,-100.0,-16.13%
MANDIRI SEKURITAS,CC,TOBA,,2/3/2026,7.7B,119.25,642,5.8B,91.584,638,,,,,,,
BNI Sekuritas,NI,TOBA,,2/3/2026,824.8M,12.89,640,598.4M,9.223,649,,,,,,,
BRI Danareksa Sekuritas,OD,TOBA,,2/3/2026,752.8M,11.66,646,945.6M,14.901,635,,,,,,,
MANDIRI SEKURITAS,CC,TOBA,,2/4/2026,7.7B,119.25,642,5.8B,91.584,638,,,,,,,
BNI Sekuritas,NI,TOBA,,2/4/2026,824.8M,12.89,640,598.4M,9.223,649,,,,,,,
BRI Danareksa Sekuritas,OD,TOBA,,2/4/2026,752.8M,11.66,646,945.6M,14.901,635,,,,,,,
MANDIRI SEKURITAS,CC,TRON,Teknologi Karya Digital Nusa Tbk.,1/28/2026,279.1M,12.853,217,142.7M,6.439,222,216.0,216.0,230.0,210.0,210.0,-36.0,-17.14%
MANDIRI SEKURITAS,CC,TRON,Teknologi Karya Digital Nusa Tbk.,1/29/2026,1B,55.283,186,327.9M,17.565,187,185.0,180.0,204.0,179.0,190.0,-20.0,-10.53%
MANDIRI SEKURITAS,CC,TRON,Teknologi Karya Digital Nusa Tbk.,1/30/2026,284.3M,14.96,190,101.6M,5.113,199,190.0,193.0,206.0,181.0,190.0,0.0,0.00%
BNI Sekuritas,NI,TRON,Teknologi Karya Digital Nusa Tbk.,1/30/2026,48.3M,2.558,189,,,,190.0,193.0,206.0,181.0,190.0,0.0,0.00%
BRI Danareksa Sekuritas,OD,TRON,Teknologi Karya Digital Nusa Tbk.,1/30/2026,,,,37.7M,1.994,189,190.0,193.0,206.0,181.0,190.0,0.0,0.00%
MANDIRI SEKURITAS,CC,TRON,Teknologi Karya Digital Nusa Tbk.,2/2/2026,1.1B,62.193,171,260.6M,14.703,177,190.0,195.0,195.0,162.0,162.0,-28.0,-17.28%
MANDIRI SEKURITAS,CC,TRUK,Guna Timur Raya Tbk.,1/28/2026,35M,678,516,46M,885,519,560.0,560.0,560.0,476.0,486.0,-74.0,-15.23%
BNI Sekuritas,NI,TRUK,Guna Timur Raya Tbk.,1/28/2026,,,,30.4M,618,493,560.0,560.0,560.0,476.0,486.0,-74.0,-15.23%
BRI Danareksa Sekuritas,OD,TRUK,Guna Timur Raya Tbk.,1/28/2026,14.4M,283,509,,,,560.0,560.0,560.0,476.0,486.0,-74.0,-15.23%
MANDIRI SEKURITAS,CC,TRUK,Guna Timur Raya Tbk.,1/29/2026,13M,301,432,5.9M,137,432,476.0,466.0,535.0,414.0,535.0,49.0,9.16%
BNI Sekuritas,NI,TRUK,Guna Timur Raya Tbk.,1/29/2026,1M,25,414,34.5M,803,429,476.0,466.0,535.0,414.0,535.0,49.0,9.16%
BRI Danareksa Sekuritas,OD,TRUK,Guna Timur Raya Tbk.,1/29/2026,1.1M,27,425,,,,476.0,466.0,535.0,414.0,535.0,49.0,9.16%
MANDIRI SEKURITAS,CC,TRUK,Guna Timur Raya Tbk.,1/30/2026,20.8M,402,518,34.8M,650,535,565.0,565.0,565.0,498.0,498.0,-37.0,-7.43%
BNI Sekuritas,NI,TRUK,Guna Timur Raya Tbk.,1/30/2026,6.9M,134,512,11.1M,218,511,565.0,565.0,565.0,498.0,498.0,-37.0,-7.43%
BRI Danareksa Sekuritas,OD,TRUK,Guna Timur Raya Tbk.,1/30/2026,,,,213.5K,4,534,565.0,565.0,565.0,498.0,498.0,-37.0,-7.43%
MANDIRI SEKURITAS,CC,TRUK,Guna Timur Raya Tbk.,2/2/2026,28.7M,671,427,25.7M,588,438,500.0,500.0,500.0,424.0,424.0,-74.0,-17.45%
BNI Sekuritas,NI,TRUK,Guna Timur Raya Tbk.,2/2/2026,5.7M,129,444,6.5M,148,437,500.0,500.0,500.0,424.0,424.0,-74.0,-17.45%
BRI Danareksa Sekuritas,OD,TRUK,Guna Timur Raya Tbk.,2/2/2026,1.9M,45,429,558.4K,13,430,500.0,500.0,500.0,424.0,424.0,-74.0,-17.45%
MANDIRI SEKURITAS,CC,UANG,Pakuan Tbk.,1/28/2026,302.5M,579,5.225,51.7M,99,5.225,5225.0,5225.0,5225.0,5225.0,5225.0,-900.0,-17.22%
BNI Sekuritas,NI,UANG,Pakuan Tbk.,1/28/2026,25.6M,49,5.225,,,,5225.0,5225.0,5225.0,5225.0,5225.0,-900.0,-17.22%
BRI Danareksa Sekuritas,OD,UANG,Pakuan Tbk.,1/28/2026,3B,5.76,5.225,53.3M,102,5.225,5225.0,5225.0,5225.0,5225.0,5225.0,-900.0,-17.22%
MANDIRI SEKURITAS,CC,UANG,Pakuan Tbk.,1/29/2026,2.8B,6.168,4.501,1.3B,2.922,4.598,4450.0,4450.0,5000.0,4450.0,4450.0,-775.0,-17.42%
BRI Danareksa Sekuritas,OD,UANG,Pakuan Tbk.,1/29/2026,3.2B,7.086,4.453,,,,4450.0,4450.0,5000.0,4450.0,4450.0,-775.0,-17.42%
MANDIRI SEKURITAS,CC,UANG,Pakuan Tbk.,1/30/2026,1.6B,3.578,4.332,1.1B,2.594,4.393,4460.0,4470.0,4610.0,4110.0,4160.0,-290.0,-6.97%
BRI Danareksa Sekuritas,OD,UANG,Pakuan Tbk.,1/30/2026,178.5M,424,4.211,,,,4460.0,4470.0,4610.0,4110.0,4160.0,-290.0,-6.97%
MANDIRI SEKURITAS,CC,UANG,Pakuan Tbk.,2/2/2026,436.7M,1.216,3.591,992.7M,2.803,3.542,4160.0,4150.0,4160.0,3540.0,3540.0,-620.0,-17.51%
BRI Danareksa Sekuritas,OD,UANG,Pakuan Tbk.,2/2/2026,2B,5.744,3.541,,,,4160.0,4150.0,4160.0,3540.0,3540.0,-620.0,-17.51%
MANDIRI SEKURITAS,CC,UDNG,Agro Bahari Nusantara Tbk.,1/28/2026,537.8M,1.568,3.43,,,,0.0,0.0,3610.0,3430.0,3430.0,-380.0,-11.08%
BRI Danareksa Sekuritas,OD,UDNG,Agro Bahari Nusantara Tbk.,1/28/2026,275.4M,803,3.43,,,,0.0,0.0,3610.0,3430.0,3430.0,-380.0,-11.08%
MANDIRI SEKURITAS,CC,UDNG,Agro Bahari Nusantara Tbk.,1/29/2026,178.9M,579,3.09,,,,0.0,0.0,3090.0,3090.0,3090.0,-340.0,-11.00%
MANDIRI SEKURITAS,CC,UDNG,Agro Bahari Nusantara Tbk.,1/30/2026,682.7M,2.447,2.79,,,,0.0,0.0,2790.0,2790.0,2790.0,-300.0,-10.75%
BNI Sekuritas,NI,UDNG,Agro Bahari Nusantara Tbk.,1/30/2026,85.7M,307,2.79,,,,0.0,0.0,2790.0,2790.0,2790.0,-300.0,-10.75%
BRI Danareksa Sekuritas,OD,UDNG,Agro Bahari Nusantara Tbk.,1/30/2026,41.9M,150,2.79,,,,0.0,0.0,2790.0,2790.0,2790.0,-300.0,-10.75%
MANDIRI SEKURITAS,CC,UDNG,Agro Bahari Nusantara Tbk.,2/2/2026,21.5M,84,2.556,8.4M,32,2.633,0.0,0.0,2690.0,2520.0,2520.0,-270.0,-10.71%
BNI Sekuritas,NI,UDNG,Agro Bahari Nusantara Tbk.,2/2/2026,,,,25M,97,2.573,0.0,0.0,2690.0,2520.0,2520.0,-270.0,-10.71%
BRI Danareksa Sekuritas,OD,UDNG,Agro Bahari Nusantara Tbk.,2/2/2026,,,,19.7M,78,2.53,0.0,0.0,2690.0,2520.0,2520.0,-270.0,-10.71%
MANDIRI SEKURITAS,CC,VKTR,VKTR Teknologi Mobilitas Tbk.,1/28/2026,1.3B,11.482,1.105,235.3M,2.129,1.105,1105.0,1105.0,1105.0,1105.0,1105.0,-190.0,-17.19%
BNI Sekuritas,NI,VKTR,VKTR Teknologi Mobilitas Tbk.,1/28/2026,343.8M,3.111,1.105,,,,1105.0,1105.0,1105.0,1105.0,1105.0,-190.0,-17.19%
BRI Danareksa Sekuritas,OD,VKTR,VKTR Teknologi Mobilitas Tbk.,1/28/2026,916.7M,8.296,1.105,89.2M,807,1.105,1105.0,1105.0,1105.0,1105.0,1105.0,-190.0,-17.19%
MANDIRI SEKURITAS,CC,VKTR,VKTR Teknologi Mobilitas Tbk.,1/29/2026,19.9B,210.072,949,16.3B,171.394,950,940.0,940.0,980.0,940.0,940.0,-165.0,-17.55%
BNI Sekuritas,NI,VKTR,VKTR Teknologi Mobilitas Tbk.,1/29/2026,17.4B,184.449,941,,,,940.0,940.0,980.0,940.0,940.0,-165.0,-17.55%
MANDIRI SEKURITAS,CC,VKTR,VKTR Teknologi Mobilitas Tbk.,1/30/2026,29.4B,340.033,866,26.2B,297.724,881,965.0,970.0,975.0,800.0,800.0,-140.0,-17.50%
MANDIRI SEKURITAS,CC,VKTR,VKTR Teknologi Mobilitas Tbk.,2/2/2026,7.1B,95.313,749,1.4B,18.552,770,790.0,790.0,825.0,680.0,680.0,-120.0,-17.65%
MANDIRI SEKURITAS,CC,WINR,Winner Nusantara Jaya Tbk.,1/28/2026,20.3M,"3,768",54,58.8M,"10,881",54,0.0,0.0,54.0,54.0,54.0,-6.0,-11.11%
BNI Sekuritas,NI,WINR,Winner Nusantara Jaya Tbk.,1/28/2026,6.5M,"1,210",54,,,,0.0,0.0,54.0,54.0,54.0,-6.0,-11.11%
BRI Danareksa Sekuritas,OD,WINR,Winner Nusantara Jaya Tbk.,1/28/2026,7.2M,"1,338",54,831.6K,154,54,0.0,0.0,54.0,54.0,54.0,-6.0,-11.11%
MANDIRI SEKURITAS,CC,WINR,Winner Nusantara Jaya Tbk.,1/29/2026,29.9M,"6,111",49,,,,0.0,0.0,54.0,49.0,49.0,-5.0,-10.20%
BNI Sekuritas,NI,WINR,Winner Nusantara Jaya Tbk.,1/29/2026,1.4M,295,49,,,,0.0,0.0,54.0,49.0,49.0,-5.0,-10.20%
BRI Danareksa Sekuritas,OD,WINR,Winner Nusantara Jaya Tbk.,1/29/2026,11.5M,"2,330",49,,,,0.0,0.0,54.0,49.0,49.0,-5.0,-10.20%
MANDIRI SEKURITAS,CC,WINR,Winner Nusantara Jaya Tbk.,1/30/2026,104.8M,"22,977",46,287.6M,"62,811",46,0.0,0.0,47.0,45.0,46.0,-3.0,-6.52%
BNI Sekuritas,NI,WINR,Winner Nusantara Jaya Tbk.,1/30/2026,37.5M,"8,151",46,32.1M,"6,920",46,0.0,0.0,47.0,45.0,46.0,-3.0,-6.52%
BRI Danareksa Sekuritas,OD,WINR,Winner Nusantara Jaya Tbk.,1/30/2026,43.4M,"9,648",45,,,,0.0,0.0,47.0,45.0,46.0,-3.0,-6.52%
MANDIRI SEKURITAS,CC,WINR,Winner Nusantara Jaya Tbk.,2/2/2026,32.8M,"7,712",43,7.9M,"1,847",43,0.0,0.0,43.0,42.0,42.0,-4.0,-9.52%
BNI Sekuritas,NI,WINR,Winner Nusantara Jaya Tbk.,2/2/2026,,,,9.8M,"2,337",42,0.0,0.0,43.0,42.0,42.0,-4.0,-9.52%
MANDIRI SEKURITAS,CC,WOWS,Ginting Jaya Energi Tbk.,1/28/2026,3.6B,"375,076",96,4.2B,"424,628",100,97.0,97.0,112.0,87.0,87.0,-15.0,-17.24%
BNI Sekuritas,NI,WOWS,Ginting Jaya Energi Tbk.,1/28/2026,352.2M,"37,748",93,,,,97.0,97.0,112.0,87.0,87.0,-15.0,-17.24%
BRI Danareksa Sekuritas,OD,WOWS,Ginting Jaya Energi Tbk.,1/28/2026,326.3M,"32,871",99,257.9M,"26,974",96,97.0,97.0,112.0,87.0,87.0,-15.0,-17.24%
MANDIRI SEKURITAS,CC,WOWS,Ginting Jaya Energi Tbk.,1/29/2026,1.2B,"149,804",77,939.6M,"119,458",79,87.0,88.0,89.0,74.0,81.0,-6.0,-7.41%
BNI Sekuritas,NI,WOWS,Ginting Jaya Energi Tbk.,1/29/2026,,,,116.4M,"15,274",76,87.0,88.0,89.0,74.0,81.0,-6.0,-7.41%
BRI Danareksa Sekuritas,OD,WOWS,Ginting Jaya Energi Tbk.,1/29/2026,125.9M,"15,785",80,97.1M,"11,945",81,87.0,88.0,89.0,74.0,81.0,-6.0,-7.41%
MANDIRI SEKURITAS,CC,WOWS,Ginting Jaya Energi Tbk.,1/30/2026,856.8M,"99,078",86,704.2M,"80,197",88,81.0,82.0,92.0,81.0,86.0,5.0,5.81%
BNI Sekuritas,NI,WOWS,Ginting Jaya Energi Tbk.,1/30/2026,150.2M,"17,144",88,103.6M,"11,753",88,81.0,82.0,92.0,81.0,86.0,5.0,5.81%
BRI Danareksa Sekuritas,OD,WOWS,Ginting Jaya Energi Tbk.,1/30/2026,,,,63.2M,"7,141",88,81.0,82.0,92.0,81.0,86.0,5.0,5.81%
MANDIRI SEKURITAS,CC,WOWS,Ginting Jaya Energi Tbk.,2/2/2026,645.1M,"80,589",80,216.9M,"25,525",85,89.0,90.0,90.0,74.0,75.0,-11.0,-14.67%
BNI Sekuritas,NI,WOWS,Ginting Jaya Energi Tbk.,2/2/2026,53.4M,"7,047",76,87.9M,"10,828",81,89.0,90.0,90.0,74.0,75.0,-11.0,-14.67%
BRI Danareksa Sekuritas,OD,WOWS,Ginting Jaya Energi Tbk.,2/2/2026,37.4M,"4,623",81,62.8M,"7,639",82,89.0,90.0,90.0,74.0,75.0,-11.0,-14.67%
MANDIRI SEKURITAS,CC,YELO,Yelooo Integra Datanet Tbk.,1/28/2026,1.3B,144.529,93,1.2B,134.242,92,90.0,95.0,99.0,89.0,89.0,-15.0,-16.85%
BNI Sekuritas,NI,YELO,Yelooo Integra Datanet Tbk.,1/28/2026,364.3M,40.211,91,509.7M,53.664,95,90.0,95.0,99.0,89.0,89.0,-15.0,-16.85%
BRI Danareksa Sekuritas,OD,YELO,Yelooo Integra Datanet Tbk.,1/28/2026,143M,15.468,92,,,,90.0,95.0,99.0,89.0,89.0,-15.0,-16.85%
MANDIRI SEKURITAS,CC,YELO,Yelooo Integra Datanet Tbk.,1/29/2026,1.5B,190.734,79,1.4B,177.446,80,77.0,84.0,87.0,76.0,83.0,-6.0,-7.23%
BNI Sekuritas,NI,YELO,Yelooo Integra Datanet Tbk.,1/29/2026,213.6M,26.756,80,148.2M,18.786,79,77.0,84.0,87.0,76.0,83.0,-6.0,-7.23%
MANDIRI SEKURITAS,CC,YELO,Yelooo Integra Datanet Tbk.,1/30/2026,527.4M,62.493,84,780.1M,92.529,84,85.0,85.0,90.0,79.0,82.0,-1.0,-1.22%
BNI Sekuritas,NI,YELO,Yelooo Integra Datanet Tbk.,1/30/2026,145M,17.644,82,246.2M,29.549,83,85.0,85.0,90.0,79.0,82.0,-1.0,-1.22%
BRI Danareksa Sekuritas,OD,YELO,Yelooo Integra Datanet Tbk.,1/30/2026,119.7M,14.446,83,67.9M,8.02,85,85.0,85.0,90.0,79.0,82.0,-1.0,-1.22%
MANDIRI SEKURITAS,CC,YELO,Yelooo Integra Datanet Tbk.,2/2/2026,420.4M,56.919,74,584.4M,83.221,70,82.0,82.0,83.0,70.0,70.0,-12.0,-17.14%
BNI Sekuritas,NI,YELO,Yelooo Integra Datanet Tbk.,2/2/2026,105.6M,14.573,72,118.4M,16.636,71,82.0,82.0,83.0,70.0,70.0,-12.0,-17.14%
